,Zip Code,Total Population,Population Density (per sq. mile),Male,Female,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More races,Average Household Size,High school or more,Bachelor's degree or more,Master's degree or more,Civilian Population In Labor Force 16 Years And Over,Employed,Unemployed,Total Employed Civilian Population 16 Years And Over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,Median household income,Average Household Income,Per Capita Income,Gini Index Of Income Inequality,Occupied Housing Units,Owner Occupied,Renter Occupied,Median House Value For All Owner-Occupied Housing Units,Median Gross Rent,Average Gross Rent,Workers 16 Years and over,"Car, truck, or van",Drove Alone,Carpooled,Public transportation (Includes Taxicab),Motorcycle,Bicycle,Walked,Other means,Worked at home,Less than 10 minutes,10 to 19 minutes,20 to 29 minutes,30 to 39 minutes,40 to 59 minutes,60 to 89 minutes,90 or More minutes,Worked at home,Average Commute to Work (in min),Total Population,Native Born,Foreign Born,Naturalized Citizen,Not a Citizen
2580,10025,97390,129571.4,43572,53818,64006,14978,484,9085,7,5810,3020,2.11,65951,49761,28318,54534,49805,4729,49805,38,519,1142,654,2640,430,3255,6001,10305,16263,5142,2378,1038,68516.0,119877.0,55843.0,0.5748,43421,9920,33501,934600.0,1451.0,1572.8933464672698,48843,3396,2925,471,34230,185,583,6187,161,4101,2401,5925,10510,12726,9586,2880,714,4101,31.0,97390,72469,24921,12512,12409
2581,10026,37871,113954.1,17885,19986,8837,22800,11,1456,0,3834,933,2.57,20884,9933,4529,18437,16910,1527,16910,22,161,397,191,1449,1077,1050,1627,2364,4884,1927,900,861,43107.0,69653.0,28674.0,0.5473,14324,2876,11448,602400.0,914.0,1081.27183787561,16650,1412,1241,171,12365,23,175,1253,154,1268,280,1656,3246,4910,3619,1251,420,1268,34.0,37871,29108,8763,4063,4700
2582,10027,62617,71852.31,28142,34475,17822,26276,112,5661,52,10117,2577,2.42,32551,17596,9679,28258,26100,2158,26100,0,417,770,453,2546,1169,1104,1999,2647,9895,2646,1566,888,37872.0,67382.0,27349.0,0.579,22862,3202,19660,716100.0,950.0,1077.36012207528,25870,2113,1744,369,16538,36,135,4799,210,2039,2020,3918,3485,6730,4831,2240,607,2039,31.0,62617,46102,16515,7025,9490
2583,10028,44295,140990.3,19674,24621,39452,682,30,2830,74,366,861,1.82,34501,28777,14755,28607,27002,1605,27002,12,378,670,829,1510,193,1871,6537,6623,5193,1649,811,726,104638.0,193882.0,107679.0,0.5741,24232,7731,16501,1000001.0,1944.0,1992.2368341312601,26684,2695,2160,535,17359,0,29,4301,200,2100,1288,3434,5744,7233,5401,1096,388,2100,31.0,44295,36604,7691,4237,3454
2584,10029,77454,93874.63,36560,40894,27158,23492,158,6907,149,17407,2183,2.59,37688,15369,6324,36702,31970,4732,31970,38,866,999,617,3336,1325,949,3027,3661,9751,4623,1861,917,31888.0,61306.0,25270.0,0.5993,28738,1888,26850,787000.0,853.0,967.657355679702,31337,2592,2175,417,21646,16,748,4939,297,1099,1860,4305,5233,7870,7094,3140,736,1099,33.0,77454,56833,20621,8055,12566
2585,10030,28472,102070.2,13569,14903,4301,19279,156,996,0,1250,2490,2.41,14927,5595,2058,14461,12313,2148,12313,8,394,277,65,1567,958,405,670,1604,3341,1699,511,814,31925.0,53814.0,23992.0,0.557,11590,1449,10141,509000.0,823.0,868.5336751799631,11562,1187,733,454,8529,102,84,933,0,727,138,1262,1492,2860,2967,1655,461,727,39.0,28472,22026,6446,3073,3373
2586,10031,59092,90800.1,28360,30732,16260,20403,248,1148,46,11241,9746,2.83,29242,12286,5115,32038,28359,3679,28359,92,878,1202,409,2456,1048,1329,2060,3334,7865,5071,1578,1037,37655.0,57605.0,23322.0,0.53,20782,2309,18473,369800.0,1062.0,1088.05824717155,27641,2681,1850,831,21280,28,406,1333,158,1755,566,2082,3944,7555,7236,3239,1264,1755,39.0,59092,36015,23077,10081,12996
2587,10032,59374,90306.65,29080,30294,16931,13442,730,1764,0,22806,3701,2.98,26439,10924,3702,31004,26013,4991,26013,22,678,1072,446,3428,1269,868,1954,2345,6845,4608,1892,586,34568.0,49378.0,19005.0,0.4818,19548,1495,18053,334900.0,1035.0,1056.2842740818699,25175,3256,2393,863,16305,22,199,3437,249,1707,2041,2728,3599,5153,6134,2468,1345,1707,36.0,59374,31973,27401,12007,15394
2588,10033,58710,97114.56,29934,28776,24130,5294,138,1597,143,24951,2457,3.0,28551,12952,5539,33220,27967,5253,27967,16,945,1407,534,2973,1208,963,2486,2671,8285,4074,1823,582,41556.0,62146.0,23403.0,0.5077,19254,2202,17052,422100.0,1160.0,1190.8515130189999,26767,3405,1874,1531,17138,0,274,3921,245,1784,1403,3473,2826,4669,7895,3573,1144,1784,39.0,58710,29792,28918,14224,14694
2589,10034,41510,36854.17,21088,20422,15031,3790,190,819,164,19377,2139,2.77,20825,9340,3758,24000,20111,3889,20111,21,331,1209,464,2676,972,682,1265,1920,5283,3091,1688,509,41171.0,57322.0,22909.0,0.4665,14967,1341,13626,354700.0,1102.0,1079.7005724350502,19275,3524,2310,1214,12578,0,94,2054,75,950,1100,1760,1958,3255,5702,3449,1101,950,42.0,41510,21037,20473,8396,12077
